Schedule,FPR,TPR
Convex Only,0.0,0.06037778288328961
Convex Only,0.010101010101010102,0.06037778288328961
Convex Only,0.020202020202020204,0.06037778288328961
Convex Only,0.030303030303030304,0.1427563160488882
Convex Only,0.04040404040404041,0.17162240005681617
Convex Only,0.05050505050505051,0.20337265110531283
Convex Only,0.06060606060606061,0.21970964921057345
Convex Only,0.07070707070707072,0.22690614483009783
Convex Only,0.08080808080808081,0.23929382133844185
Convex Only,0.09090909090909091,0.2776172718107994
Convex Only,0.10101010101010102,0.28530048694082305
Convex Only,0.11111111111111112,0.3061327460033714
Convex Only,0.12121212121212122,0.3313100509679104
Convex Only,0.13131313131313133,0.36300098041919815
Convex Only,0.14141414141414144,0.40445642438540264
Convex Only,0.15151515151515152,0.41447882080197596
Convex Only,0.16161616161616163,0.4297042457834984
Convex Only,0.17171717171717174,0.4372929850735841
Convex Only,0.18181818181818182,0.43942064464805214
Convex Only,0.19191919191919193,0.43942064464805214
Convex Only,0.20202020202020204,0.45154185676926434
Convex Only,0.21212121212121213,0.4570974123248199
Convex Only,0.22222222222222224,0.47414601636151943
Convex Only,0.23232323232323235,0.47967470752850855
Convex Only,0.24242424242424243,0.4876424230857415
Convex Only,0.25252525252525254,0.491833267702118
Convex Only,0.26262626262626265,0.4948635707324211
Convex Only,0.27272727272727276,0.4978047472030093
Convex Only,0.2828282828282829,0.5036095654109283
Convex Only,0.29292929292929293,0.507255099341015
Convex Only,0.30303030303030304,0.5194885449077941
Convex Only,0.31313131313131315,0.5194885449077941
Convex Only,0.32323232323232326,0.5341226912492573
Convex Only,0.33333333333333337,0.5474824141587081
Convex Only,0.3434343434343435,0.5551382407169736
Convex Only,0.3535353535353536,0.5581685437472768
Convex Only,0.36363636363636365,0.5673293002484587
Convex Only,0.37373737373737376,0.5797169767568029
Convex Only,0.38383838383838387,0.5797169767568029
Convex Only,0.393939393939394,0.5979140389172495
Convex Only,0.4040404040404041,0.6003530633074934
Convex Only,0.4141414141414142,0.6024807228819615
Convex Only,0.42424242424242425,0.639019255482886
Convex Only,0.43434343434343436,0.6417970332606636
Convex Only,0.4444444444444445,0.6562824446500999
Convex Only,0.4545454545454546,0.6668842081730204
Convex Only,0.4646464646464647,0.6689644420362001
Convex Only,0.4747474747474748,0.6767156123500699
Convex Only,0.48484848484848486,0.6770242543253785
Convex Only,0.494949494949495,0.6855209863515224
Convex Only,0.5050505050505051,0.7080309699080175
Convex Only,0.5151515151515152,0.7241621901812727
Convex Only,0.5252525252525253,0.7280381591735208
Convex Only,0.5353535353535354,0.7411495929620523
Convex Only,0.5454545454545455,0.7570199425949999
Convex Only,0.5555555555555556,0.7594589669852438
Convex Only,0.5656565656565657,0.7700262863151611
Convex Only,0.5757575757575758,0.7764092650385653
Convex Only,0.5858585858585859,0.7969257643212052
Convex Only,0.595959595959596,0.7969257643212052
Convex Only,0.6060606060606061,0.8130783229056148
Convex Only,0.6161616161616162,0.8278311139741952
Convex Only,0.6262626262626263,0.8278311139741952
Convex Only,0.6363636363636365,0.8334929959518667
Convex Only,0.6464646464646465,0.8358185773472154
Convex Only,0.6565656565656566,0.8379462369216835
Convex Only,0.6666666666666667,0.8598042674544295
Convex Only,0.6767676767676768,0.8658648735150356
Convex Only,0.686868686868687,0.8710816756830573
Convex Only,0.696969696969697,0.8838476331298658
Convex Only,0.7070707070707072,0.8866254109076435
Convex Only,0.7171717171717172,0.899205641973112
Convex Only,0.7272727272727273,0.9137222828999461
Convex Only,0.7373737373737375,0.9166634593705343
Convex Only,0.7474747474747475,0.9196937624008372
Convex Only,0.7575757575757577,0.9241470033706541
Convex Only,0.7676767676767677,0.9342418543191636
Convex Only,0.7777777777777778,0.9342418543191636
Convex Only,0.787878787878788,0.936873433266532
Convex Only,0.797979797979798,0.9396512110443099
Convex Only,0.8080808080808082,0.9452239664622665
Convex Only,0.8181818181818182,0.9452239664622665
Convex Only,0.8282828282828284,0.9452239664622665
Convex Only,0.8383838383838385,0.9526529070307419
Convex Only,0.8484848484848485,0.9598494026502664
Convex Only,0.8585858585858587,0.9598494026502664
Convex Only,0.8686868686868687,0.9646140084358589
Convex Only,0.8787878787878789,0.9752523063081995
Convex Only,0.888888888888889,0.9799034690988971
Convex Only,0.8989898989898991,0.9823424934891409
Convex Only,0.9090909090909092,0.9823424934891409
Convex Only,0.9191919191919192,0.9846680748844898
Convex Only,0.9292929292929294,0.9846680748844898
