Schedule,FPR,TPR
Convex Only,0.0,0.04747211201196021
Convex Only,0.010101010101010102,0.04979840524734435
Convex Only,0.020202020202020204,0.05212469848272851
Convex Only,0.030303030303030304,0.12456335173365533
Convex Only,0.04040404040404041,0.12851271251413568
Convex Only,0.05050505050505051,0.13246207329461598
Convex Only,0.06060606060606061,0.14649387614283252
Convex Only,0.07070707070707072,0.1513122208805321
Convex Only,0.08080808080808081,0.17078110325264026
Convex Only,0.09090909090909091,0.1748215072930443
Convex Only,0.10101010101010102,0.19319925023975276
Convex Only,0.11111111111111112,0.1962295532700558
Convex Only,0.12121212121212122,0.1962295532700558
Convex Only,0.13131313131313133,0.2056045532700558
Convex Only,0.14141414141414144,0.21469546236096487
Convex Only,0.15151515151515152,0.21469546236096487
Convex Only,0.16161616161616163,0.21772576539126795
Convex Only,0.17171717171717174,0.21772576539126795
Convex Only,0.18181818181818182,0.23345768132479677
Convex Only,0.19191919191919193,0.24208810319051274
Convex Only,0.20202020202020204,0.24331766637453517
Convex Only,0.21212121212121213,0.2577924012164858
Convex Only,0.22222222222222224,0.2636532566223645
Convex Only,0.23232323232323235,0.27700899550351876
Convex Only,0.24242424242424243,0.28108618500195715
Convex Only,0.25252525252525254,0.28500045498263715
Convex Only,0.26262626262626265,0.3016669622267959
Convex Only,0.27272727272727276,0.30654385616618984
Convex Only,0.2828282828282829,0.3298393107116444
Convex Only,0.29292929292929293,0.33286961374194746
Convex Only,0.30303030303030304,0.35854363334979056
Convex Only,0.31313131313131315,0.3623315121376694
Convex Only,0.32323232323232326,0.37985045153160873
Convex Only,0.33333333333333337,0.3994638650788458
Convex Only,0.3434343434343435,0.39987421861419936
Convex Only,0.3535353535353536,0.4002845721495529
Convex Only,0.36363636363636365,0.40596352072622877
Convex Only,0.37373737373737376,0.4148219918006089
Convex Only,0.38383838383838387,0.4240714697176088
Convex Only,0.393939393939394,0.4524116901032838
Convex Only,0.4040404040404041,0.45559982141641503
Convex Only,0.4141414141414142,0.4565410519031
Convex Only,0.42424242424242425,0.4583316855119155
Convex Only,0.43434343434343436,0.49149993183647256
Convex Only,0.4444444444444445,0.4986183531260169
Convex Only,0.4545454545454546,0.506115562294349
Convex Only,0.4646464646464647,0.5112099554235014
Convex Only,0.4747474747474748,0.5120343761008633
Convex Only,0.48484848484848486,0.5225362161330639
Convex Only,0.494949494949495,0.5237687584306687
Convex Only,0.5050505050505051,0.531575350117572
Convex Only,0.5151515151515152,0.5476294029753237
Convex Only,0.5252525252525253,0.5554123487044413
Convex Only,0.5353535353535354,0.5599694879819459
Convex Only,0.5454545454545455,0.5632732850134613
Convex Only,0.5555555555555556,0.5697101281927288
Convex Only,0.5656565656565657,0.5743477289477538
Convex Only,0.5757575757575758,0.58544058116944
Convex Only,0.5858585858585859,0.5875356348057683
Convex Only,0.595959595959596,0.5939458993749548
Convex Only,0.6060606060606061,0.6096631374222377
Convex Only,0.6161616161616162,0.6162732052828049
Convex Only,0.6262626262626263,0.6244299903150894
Convex Only,0.6363636363636365,0.6290142857454726
Convex Only,0.6464646464646465,0.6529700980689241
Convex Only,0.6565656565656566,0.6701311523856912
Convex Only,0.6666666666666667,0.6715417227356555
Convex Only,0.6767676767676768,0.6729522930856199
Convex Only,0.686868686868687,0.6785295301022508
Convex Only,0.696969696969697,0.6808805393236884
Convex Only,0.7070707070707072,0.7045917203905184
Convex Only,0.7171717171717172,0.7145662795165908
Convex Only,0.7272727272727273,0.7358513101712431
Convex Only,0.7373737373737375,0.753389405489165
Convex Only,0.7474747474747475,0.7706197021865464
Convex Only,0.7575757575757577,0.7844142643773695
Convex Only,0.7676767676767677,0.7995035057988994
Convex Only,0.7777777777777778,0.8018919738123673
Convex Only,0.787878787878788,0.8049131402837689
Convex Only,0.797979797979798,0.8122839684716034
Convex Only,0.8080808080808082,0.8260174518032514
Convex Only,0.8181818181818182,0.8406770770526102
Convex Only,0.8282828282828284,0.8459970940987244
Convex Only,0.8383838383838385,0.8526319840114356
Convex Only,0.8484848484848485,0.8633824814096602
Convex Only,0.8585858585858587,0.8751640906050626
Convex Only,0.8686868686868687,0.8751640906050626
Convex Only,0.8787878787878789,0.8814140906050627
Convex Only,0.888888888888889,0.8905208026811234
Convex Only,0.8989898989898991,0.9042281624743417
Convex Only,0.9090909090909092,0.9198124206544696
Convex Only,0.9191919191919192,0.925900577667195
Convex Only,0.9292929292929294,0.9408051799241515
Convex Only,0.9393939393939394,0.9426170698673545
Convex Only,0.9494949494949496,0.9445302399920517
Convex Only,0.9595959595959597,0.9503457587925161
Convex Only,0.9696969696969697,0.9527761330440431
Convex Only,0.9797979797979799,0.9654222021774836
Convex Only,0.98989898989899,0.9701726710430119
Convex Only,1.0,1.0
Multistage_1,0.0,0.1157545817396632
Multistage_1,0.010101010101010102,0.11674363897872042
Multistage_1,0.020202020202020204,0.11773269621777767
Multistage_1,0.030303030303030304,0.17091590841345472
Multistage_1,0.04040404040404041,0.17190496565251195
Multistage_1,0.05050505050505051,0.180448736696283
Multistage_1,0.06060606060606061,0.1954160569577209
Multistage_1,0.07070707070707072,0.20035218292325868
Multistage_1,0.08080808080808081,0.23540805473434867
Multistage_1,0.09090909090909091,0.24451084736655307
Multistage_1,0.10101010101010102,0.24534547447252736
Multistage_1,0.11111111111111112,0.25898252093334045
Multistage_1,0.12121212121212122,0.27151476941435554
Multistage_1,0.13131313131313133,0.31043590678425953
Multistage_1,0.14141414141414144,0.3270085593056787
Multistage_1,0.15151515151515152,0.3450275790027475
Multistage_1,0.16161616161616163,0.3582970383016186
Multistage_1,0.17171717171717174,0.3701427776422869
Multistage_1,0.18181818181818182,0.3880001418523388
Multistage_1,0.19191919191919193,0.39305382267681066
Multistage_1,0.20202020202020204,0.39704908842729464
Multistage_1,0.21212121212121213,0.4101291537867717
Multistage_1,0.22222222222222224,0.4127504649374947
Multistage_1,0.23232323232323235,0.4236735437649853
Multistage_1,0.24242424242424243,0.4292822721919185
Multistage_1,0.25252525252525254,0.4377734307788126
Multistage_1,0.26262626262626265,0.4494781768534876
Multistage_1,0.27272727272727276,0.4516185289887688
Multistage_1,0.2828282828282829,0.46162483909081437
Multistage_1,0.29292929292929293,0.4657202254391943
Multistage_1,0.30303030303030304,0.4700050057269681
Multistage_1,0.31313131313131315,0.4900475794665008
Multistage_1,0.32323232323232326,0.5060656144538302
Multistage_1,0.33333333333333337,0.5253607890724294
Multistage_1,0.3434343434343435,0.5317501881133436
Multistage_1,0.3535353535353536,0.5325482571879279
Multistage_1,0.36363636363636365,0.5432024304074095
Multistage_1,0.37373737373737376,0.5448212065527007
