Schedule,FPR,TPR
Convex Only,0.0,0.0800905760642478
Convex Only,0.010101010101010102,0.0871732563150315
Convex Only,0.020202020202020204,0.0942559365658152
Convex Only,0.030303030303030304,0.15484474655705466
Convex Only,0.04040404040404041,0.15796181941028214
Convex Only,0.05050505050505051,0.1606609194317437
Convex Only,0.06060606060606061,0.17796878342521377
Convex Only,0.07070707070707072,0.18416529717381083
Convex Only,0.08080808080808081,0.19854592478833996
Convex Only,0.09090909090909091,0.20533931640654218
Convex Only,0.10101010101010102,0.20796604135807772
Convex Only,0.11111111111111112,0.21059276630961335
Convex Only,0.12121212121212122,0.21321949126114886
Convex Only,0.13131313131313133,0.22522121621268446
Convex Only,0.14141414141414144,0.23373029410539647
Convex Only,0.15151515151515152,0.2523054821828145
Convex Only,0.16161616161616163,0.26270476922478847
Convex Only,0.17171717171717174,0.2771161440564238
Convex Only,0.18181818181818182,0.2926830114103146
Convex Only,0.19191919191919193,0.30389264563131246
Convex Only,0.20202020202020204,0.31739796396617626
Convex Only,0.21212121212121213,0.32888308028083807
Convex Only,0.22222222222222224,0.33421846397517896
Convex Only,0.23232323232323235,0.34851903320610006
Convex Only,0.24242424242424243,0.35633105493857636
Convex Only,0.25252525252525254,0.35756211554463696
Convex Only,0.26262626262626265,0.3587931761506976
Convex Only,0.27272727272727276,0.366173969377079
Convex Only,0.2828282828282829,0.37485506400456836
Convex Only,0.29292929292929293,0.3870686680982435
Convex Only,0.30303030303030304,0.397345818404552
Convex Only,0.31313131313131315,0.40296559374415486
Convex Only,0.32323232323232326,0.40836332101688216
Convex Only,0.33333333333333337,0.42899704282899664
Convex Only,0.3434343434343435,0.4302281034350572
Convex Only,0.3535353535353536,0.44397695341493193
Convex Only,0.36363636363636365,0.4535413473543259
Convex Only,0.37373737373737376,0.4575501857381642
Convex Only,0.38383838383838387,0.4684586656990636
Convex Only,0.393939393939394,0.47382195771008284
Convex Only,0.4040404040404041,0.4826983869585795
Convex Only,0.4141414141414142,0.5057397126486352
Convex Only,0.42424242424242425,0.5093855459819685
Convex Only,0.43434343434343436,0.5237723049790584
Convex Only,0.4444444444444445,0.5307742803782112
Convex Only,0.4545454545454546,0.531715649716758
Convex Only,0.4646464646464647,0.5387176251159108
Convex Only,0.4747474747474748,0.5426892974847606
Convex Only,0.48484848484848486,0.5505272185474454
Convex Only,0.494949494949495,0.5659572242496285
Convex Only,0.5050505050505051,0.5734718694502441
Convex Only,0.5151515151515152,0.5773961933342455
Convex Only,0.5252525252525253,0.5842871622559429
Convex Only,0.5353535353535354,0.5926204955892762
Convex Only,0.5454545454545455,0.5983394498376422
Convex Only,0.5555555555555556,0.6177482205256121
Convex Only,0.5656565656565657,0.6300588265862181
Convex Only,0.5757575757575758,0.6413616899903747
Convex Only,0.5858585858585859,0.6459053908882423
Convex Only,0.595959595959596,0.6546287560760682
Convex Only,0.6060606060606061,0.6632753733930287
Convex Only,0.6161616161616162,0.67044398463918
Convex Only,0.6262626262626263,0.6739127183218174
Convex Only,0.6363636363636365,0.6762351854170119
Convex Only,0.6464646464646465,0.6813512131182667
Convex Only,0.6565656565656566,0.7043994686960098
Convex Only,0.6666666666666667,0.7181405399361013
Convex Only,0.6767676767676768,0.7345257411736507
Convex Only,0.686868686868687,0.7414438809042905
Convex Only,0.696969696969697,0.7422698489177584
Convex Only,0.7070707070707072,0.7487723741702836
Convex Only,0.7171717171717172,0.7573582327561422
Convex Only,0.7272727272727273,0.767490808513718
Convex Only,0.7373737373737375,0.7688902192881288
Convex Only,0.7474747474747475,0.7792227108706204
Convex Only,0.7575757575757577,0.787073734548257
Convex Only,0.7676767676767677,0.7884731453226678
Convex Only,0.7777777777777778,0.795428111652634
Convex Only,0.787878787878788,0.7968275224270449
Convex Only,0.797979797979798,0.804161276635799
Convex Only,0.8080808080808082,0.8051503338748562
Convex Only,0.8181818181818182,0.8091696941442166
Convex Only,0.8282828282828284,0.8262073421294451
Convex Only,0.8383838383838385,0.8340553110661236
Convex Only,0.8484848484848485,0.854529542629065
Convex Only,0.8585858585858587,0.8727148720073865
Convex Only,0.8686868686868687,0.8727148720073865
Convex Only,0.8787878787878789,0.8831315386740533
Convex Only,0.888888888888889,0.8934763662602603
Convex Only,0.8989898989898991,0.9024837192014367
Convex Only,0.9090909090909092,0.9119595256530495
Convex Only,0.9191919191919192,0.9237242315354026
Convex Only,0.9292929292929294,0.9396516508902414
Convex Only,0.9393939393939394,0.9479849842235746
Convex Only,0.9494949494949496,0.9566451149425287
Convex Only,0.9595959595959597,0.9760416666666666
Convex Only,0.9696969696969697,0.9760416666666666
