Schedule,Label,AUC
Convex Only,"Convex, alpha=0.1",0.5398023108221122
Multistage_1,Three stage,0.6456699288577843
Nonconvex Only,"Nonconvex, alpha=0.25",0.5699354552530537
Hybrid,"Nonconvex, alpha=0.25",0.5826879476726907
